ID,Código de Barras,Descripción,Etiquetas,ESTADO,MARCA,Categoría,Proveedor,Fecha de Ingreso,Fecha de Vencimiento,Cantidad,Stock Actual,Ubicación,Domicilio,Latitud,Longitud,Mapa
AR000322,8435439883658,KIT PROG. DE LAS COSAS,,"USADO, COMPLETO",SetVeintiUno,KIT DE ROBOTICA,BQ Educación,,,,,,,,,Ver Mapa
AR000300,8435439883658,KIT PROG. DE LAS COSAS,,"USADO, COMPLETO",SetVeintiUno,KIT DE ROBOTICA,BQ Educación,,,,,,,,,
AR000311,9435339883658,KIT PROG. DE LAS COSAS,,"USADO, DAÑADO, FALTA PIEZAS",SetVeintiUno,KIT DE ROBOTICA,BQ Educación,,,,,,,,,
AR000299,8435439883658,KIT PROG. DE LAS COSAS,,"USADO, COMPLETO",SetVeintiUno,KIT DE ROBOTICA,BQ Educación,,,,,,,,,
AR000297,8435439883658,KIT PROG. DE LAS COSAS,,"USADO, COMPLETO",SetVeintiUno,KIT DE ROBOTICA,BQ Educación,,,,,,,,,
AR000359,8435439883658,KIT PROG. DE LAS COSAS,,"USADO, COMPLETO",SetVeintiUno,KIT DE ROBOTICA,BQ Educación,,,,,,,,,
AR000352,8435439883658,KIT PROG. DE LAS COSAS,,"USADO, COMPLETO",SetVeintiUno,KIT DE ROBOTICA,BQ Educación,,,,,,,,,
AR000306,8435439883658,KIT PROG. DE LAS COSAS,,"USADO, COMPLETO",SetVeintiUno,KIT DE ROBOTICA,BQ Educación,,,,,,,,,
AR000339,8435439883658,KIT PROG. DE LAS COSAS,,"USADO, FALTA CABLE USB",SetVeintiUno,KIT DE ROBOTICA,BQ Educación,,,,,,,,,
AR000362,8435439883658,KIT PROG. DE LAS COSAS,,NUEVO,SetVeintiUno,KIT DE ROBOTICA,BQ Educación,,,,,,,,,
AR000304,8435439883658,KIT PROG. DE LAS COSAS,,NUEVO,SetVeintiUno,KIT DE ROBOTICA,BQ Educación,,,,,,,,,
AR000320,8435439883658,KIT PROG. DE LAS COSAS,,NUEVO,SetVeintiUno,KIT DE ROBOTICA,BQ Educación,,,,,,,,,
AR000332,8435439883658,KIT PROG. DE LAS COSAS,,NUEVO,SetVeintiUno,KIT DE ROBOTICA,BQ Educación,,,,,,,,,
AR000354,8435439883658,KIT PROG. DE LAS COSAS,,NUEVO,SetVeintiUno,KIT DE ROBOTICA,BQ Educación,,,,,,,,,
AR000378,8435439883658,KIT PROG. DE LAS COSAS,,NUEVO,SetVeintiUno,KIT DE ROBOTICA,BQ Educación,,,,,,,,,
AR000356,8435439883658,KIT PROG. DE LAS COSAS,,NUEVO,SetVeintiUno,KIT DE ROBOTICA,BQ Educación,,,,,,,,,
AR000368,8435439883658,KIT PROG. DE LAS COSAS,,NUEVO,SetVeintiUno,KIT DE ROBOTICA,BQ Educación,,,,,,,,,
AR000296,8435439883658,KIT PROG. DE LAS COSAS,,NUEVO,SetVeintiUno,KIT DE ROBOTICA,BQ Educación,,,,,,,,,
AR000341,8435439883658,KIT PROG. DE LAS COSAS,,NUEVO,SetVeintiUno,KIT DE ROBOTICA,BQ Educación,,,,,,,,,
AR000382,8435439883658,KIT PROG. DE LAS COSAS,,NUEVO,SetVeintiUno,KIT DE ROBOTICA,BQ Educación,,,,,,,,,
AR000353,8435439883658,KIT PROG. DE LAS COSAS,,NUEVO,SetVeintiUno,KIT DE ROBOTICA,BQ Educación,,,,,,,,,
